"id","edad","nivel","experiencia","female","treatment","politica","raw_repetition_rate","relative_harshness","stage","cutoff_age","years_from_cutoff","bologna_cohort","cutoff_side"
"R_2YHJ2QHjkt09iUx",48,"E. Primaria",26,"1","6","2",0.428571428571429,0.0199620208977385,"Primary teachers",34,14,"Pre-Bologna training","Older side"
"R_8IvmWqw0jh8Ckzz",47,"E. Primaria",24,"1","2","3",0.444444444444444,-0.060368510298339,"Primary teachers",34,13,"Pre-Bologna training","Older side"
"R_8k31rX0fL5KvqHT",50,"E. Primaria",30,NA,"4","1",0.375,0.0188294530062546,"Primary teachers",34,16,"Pre-Bologna training","Older side"
"R_2EtlY4phMBEumgs",58,"E. Secundaria",25,"0","4","3",1,0.139566395663957,"Secondary teachers",39,19,"Pre-Bologna training","Older side"
"R_8dFDROJYSjZl4BQ",36,"E. Primaria",9,"0","1","2",0.5,0.0365059713703541,"Primary teachers",34,2,"Pre-Bologna training","Older side"
"R_2PYtkkpbSLUGXx6",52,"E. Secundaria",27,"0","9","1",1,0.139566395663957,"Secondary teachers",39,13,"Pre-Bologna training","Older side"
"R_8KvoHfo4kpUDu81",39,"E. Secundaria",7,"1","6","3",1,0.152313624678663,"Secondary teachers",39,0,"Bologna-era training","Younger side"
"R_2CJJL87Sd3PxYcl",45,"E. Secundaria",5,NA,"2","2",0.888888888888889,0.367308377728711,"Secondary teachers",39,6,"Pre-Bologna training","Older side"
"R_8F7iY47YPd9xJtL",40,"E. Primaria",18,"0","8","1",0.428571428571429,0.0199620208977385,"Primary teachers",34,6,"Pre-Bologna training","Older side"
"R_2AWFKG9jtOXd3hA",44,"E. Primaria",20,"1","2","3",0.444444444444444,-0.0684619480700268,"Primary teachers",34,10,"Pre-Bologna training","Older side"
"R_8goARSewOU6vmdH",28,"E. Primaria",1,"0","10","2",0.333333333333333,-0.0148329103346285,"Primary teachers",34,-6,"Bologna-era training","Younger side"
"R_8KrxpUVP2yj9l4y",46,"E. Primaria",21,"1","1","2",0.333333333333333,-0.179648337711701,"Primary teachers",34,12,"Pre-Bologna training","Older side"
"R_2YLE3h5UWM4QtNv",47,"E. Secundaria",20,"0","1","3",0.333333333333333,-0.0253349400813482,"Secondary teachers",39,8,"Pre-Bologna training","Older side"
"R_2cw9jXgri02oXdv",42,"E. Primaria",20,"1","4","1",0.5,0.0445976855155629,"Primary teachers",34,8,"Pre-Bologna training","Older side"
"R_8IeqxmZMBkUx8hr",44,"E. Secundaria",8,"0","7","3",0.666666666666667,0.154440895111986,"Secondary teachers",39,5,"Pre-Bologna training","Older side"
"R_8mLxwkn0jPGEGz3",31,"E. Secundaria",6,"1","10","1",0.555555555555556,0.0444053111511112,"Secondary teachers",39,-8,"Bologna-era training","Younger side"
"R_8Oe5C1TH32QFrWH",48,"E. Primaria",25,"1","8","3",0.555555555555556,0.0200860651341359,"Primary teachers",34,14,"Pre-Bologna training","Older side"
"R_8QY6mn9IciAa13z",28,"E. Secundaria",3,"1","6","1",1,0.437430256655508,"Secondary teachers",39,-11,"Bologna-era training","Younger side"
