attribute,model,term,contrast,estimate,std.error,statistic,p.value,conf.low,conf.high,df,n_obs
Low competence,With resource skepticism: average beliefs,low_competence_within,low_competence_within,0.2732169964183953,0.006495803952433376,42.06053606590855,1.981025636926225e-290,0.26047906000624,0.2859549328305506,2411,20816
Low competence,Low resource skepticism (-1 SD),low_competence_within,low_competence_within at -1 SD resource skepticism,0.2990463304999357,0.009167211143100134,32.62129843327742,1.1551155747132817e-193,0.28106990241302154,0.3170227585868498,2411,NA
Low competence,High resource skepticism (+1 SD),low_competence_within,low_competence_within at +1 SD resource skepticism,0.24738766233685494,0.008764958261874707,28.22462525725046,1.1127749502229647e-151,0.23020003139655673,0.2645752932771531,2411,NA
Low competence,High minus low resource skepticism,resource_skepticism_x_low_competence_within,low_competence_within high-minus-low resource skepticism,-0.051658668163080713,0.01236699765486246,-4.177138995637275,3.056989922842139e-5,-0.07590971251270272,-0.02740762381345871,2411,NA
Absenteeism,Base within-teacher,absent_within,absent_within,0.06365921248027276,0.004302100829844797,14.797238604602706,1.0654492320736374e-47,0.05522347381878453,0.07209495114176098,2704,22124
Absenteeism,With resource skepticism: average beliefs,absent_within,absent_within,0.06532099804835921,0.004406391795774122,14.824146620598796,1.2013221219264394e-47,0.056680291076193365,0.07396170502052506,2411,20816
Absenteeism,Low resource skepticism (-1 SD),absent_within,absent_within at -1 SD resource skepticism,0.06912626668823271,0.006289127803687359,10.991391627898468,1.8634987760768926e-27,0.05679361154070821,0.08145892183575722,2411,NA
Absenteeism,High resource skepticism (+1 SD),absent_within,absent_within at +1 SD resource skepticism,0.06151572940848571,0.006387719474306187,9.630311671626334,1.4477974882540119e-21,0.04898974108152614,0.07404171773544527,2411,NA
Absenteeism,High minus low resource skepticism,resource_skepticism_x_absent_within,absent_within high-minus-low resource skepticism,-0.007610537279747001,0.009113013913937902,-0.8351284604215365,0.403728129304763,-0.02548068739647623,0.010259612836982228,2411,NA
Disruptive behavior,Base within-teacher,disruptive_within,disruptive_within,0.045593685372631886,0.00477317740408835,9.55206176363353,2.744071130069491e-21,0.036234240125212445,0.054953130620051326,2704,22124
Disruptive behavior,With resource skepticism: average beliefs,disruptive_within,disruptive_within,0.045650245784896716,0.004925444357530829,9.268249211890723,4.06579330399466e-20,0.03599170351864899,0.05530878805114444,2411,20816
Disruptive behavior,Low resource skepticism (-1 SD),disruptive_within,disruptive_within at -1 SD resource skepticism,0.04736262040232094,0.007114095744826733,6.6575742161977995,3.4352720061462146e-11,0.033412245684863374,0.06131299511977851,2411,NA
Disruptive behavior,High resource skepticism (+1 SD),disruptive_within,disruptive_within at +1 SD resource skepticism,0.04393787116747249,0.00714321733333066,6.150991789435816,8.987320559923695e-10,0.029930390517431318,0.05794535181751366,2411,NA
Disruptive behavior,High minus low resource skepticism,resource_skepticism_x_disruptive_within,disruptive_within high-minus-low resource skepticism,-0.003424749234848454,0.01030688196298889,-0.3322779136451187,0.7397083004194634,-0.023636013000430736,0.016786514530733827,2411,NA
