"stage","edad","cutoff_age","n_teachers","se_raw","se_harshness","raw_repetition_rate","relative_harshness","raw_repetition_rate_pp","relative_harshness_pp","raw_low","raw_high","harshness_low","harshness_high"
"Secondary teachers",32,39,35,0.030514525211876,0.0177751527495185,0.610770975056689,0.0875747987633037,61.0770975056689,8.75747987633037,55.0962505641412,67.0579444471966,5.27354993742474,12.241409815236
"Secondary teachers",33,39,21,0.0434369588541451,0.0344859429124152,0.590891912320484,0.0988487729805683,59.0891912320484,9.88487729805683,50.5755472966359,67.6028351674608,3.12563248722345,16.6441221088902
"Secondary teachers",34,39,23,0.0456491059084571,0.0477519674371229,0.583850931677019,0.0510351089315864,58.3850931677019,5.10351089315864,49.4378684096443,67.3323179257595,-4.25587472451744,14.4628965108347
"Secondary teachers",35,39,22,0.0353656503179331,0.0237102607846218,0.525974025974026,0.0454755870442583,52.5974025974026,4.54755870442583,45.6657351350877,59.5290700597175,-0.0996524093600362,9.19476981821169
"Secondary teachers",36,39,26,0.040801336603048,0.0405665023758117,0.462606837606838,-0.00295110778599073,46.2606837606838,-0.295110778599073,38.2636217864864,54.2577457348812,-8.24614524425817,7.65592368706002
"Secondary teachers",37,39,38,0.0286135704859275,0.0233555171971006,0.538429406850459,0.0578578772587927,53.8429406850459,5.78578772587927,48.2346808698042,59.4512005002877,1.20810635524756,10.363469096511
"Secondary teachers",38,39,20,0.0362662361058312,0.036691371303196,0.50109126984127,0.0203551086876761,50.109126984127,2.03551086876761,43.0009447073841,57.2173092608699,-5.15599790665881,9.22701964419403
"Secondary teachers",39,39,24,0.0407808362825244,0.0304426300706228,0.559193121693122,0.0637951406946121,55.9193121693122,6.37951406946121,47.9262682579374,63.9123560806869,0.412758575619139,12.3462695633033
"Secondary teachers",40,39,33,0.0348315765381987,0.0278256807427651,0.558501683501683,0.0524396594647569,55.8501683501684,5.24396594647569,49.0231793486814,62.6771573516553,-0.20986747910627,10.6977993720576
"Secondary teachers",41,39,40,0.0374042101862416,0.0350460573705396,0.543402777777778,0.0234786461909445,54.3402777777778,2.34786461909445,47.0090525812744,61.6715029742811,-4.5211626255313,9.21689186372021
"Secondary teachers",42,39,45,0.0322750829922585,0.0309532235587737,0.518783068783069,0.00608326881691359,51.8783068783069,0.608326881691359,45.5523906118242,58.2042231447895,-5.45850493582828,6.675158699211
"Secondary teachers",43,39,43,0.0224349013882969,0.0203800929963399,0.509717607973422,0.0374018631142881,50.9717607973422,3.7401863114288,46.574520125236,55.3690014694484,-0.254311915853818,7.73468453871143
"Secondary teachers",44,39,45,0.0328504792619099,0.0357641690691029,0.41794532627866,-0.0641294964550244,41.794532627866,-6.41294964550244,35.3558386925316,48.2332265632003,-13.4227267830466,0.596827492041727
"Secondary teachers",45,39,65,0.0240063846150992,0.0225606763399884,0.516575091575092,0.0432585473039555,51.6575091575092,4.32585473039555,46.9522577729497,56.3627605420686,-0.0960378322421844,8.74774729303328
"Secondary teachers",46,39,58,0.0259411057260437,0.023011499530979,0.478516694033935,-0.00454177554199953,47.8516694033935,-0.454177554199953,42.767212681089,52.9361261256981,-4.96443146227183,4.05607635387192
"Secondary teachers",47,39,59,0.0236370346292316,0.0249619861191611,0.447000269034167,-0.0273446562877041,44.7000269034167,-2.73446562877041,40.0671681160873,49.3328856907461,-7.62701490812598,2.15808365058516
"Secondary teachers",48,39,53,0.0330510246464596,0.0348712588700418,0.49269991015274,-0.0142055627099179,49.269991015274,-1.42055627099179,42.791990184568,55.7479918459801,-8.25532300951998,5.4142104675364
"Secondary teachers",49,39,59,0.026917788017256,0.0253624777121171,0.484638149044929,0.00325541357868343,48.4638149044929,0.325541357868343,43.1879284531107,53.739701355875,-4.6455042737066,5.29658698944329
"Secondary teachers",50,39,59,0.0286982528102588,0.0296120928261759,0.438290287866559,-0.0386978836360631,43.8290287866559,-3.86978836360631,38.2041712358452,49.4538863374666,-9.67375855753679,1.93418183032417
