"hypothesis","estimate","std_error","p_value","ci_low","ci_high","mde_80","equiv_margin","p_lower","p_upper","tost_p","equivalent"
"H1|2: assigned Policy 3 vs Control",-0.000809523396160502,0.0161863526894353,0.960122195862053,-0.0325724443636987,0.0309533975713777,0.0453914905436144,0.03,0.0356641735708944,0.028493929318727,0.0356641735708944,TRUE
"H1|2: assigned Policy 3 vs Control",-0.000809523396160502,0.0161863526894353,0.960122195862053,-0.0325724443636987,0.0309533975713777,0.0453914905436144,0.05,0.00118709394369735,0.000847773125537199,0.00118709394369735,TRUE
"H1|3: assigned favorite vs Control",-0.0105372331414924,0.0158050577110348,0.505165015014661,-0.0415637293097098,0.020489263026725,0.0443358081778902,0.02,0.274681273926214,0.0266738952415522,0.274681273926214,FALSE
"H1|3: assigned favorite vs Control",-0.0105372331414924,0.0158050577110348,0.505165015014661,-0.0415637293097098,0.020489263026725,0.0443358081778902,0.03,0.109083143810385,0.00516209106381378,0.109083143810385,FALSE
"H1|3: assigned favorite vs Control",-0.0105372331414924,0.0158050577110348,0.505165015014661,-0.0415637293097098,0.020489263026725,0.0443358081778902,0.05,0.00626599743058126,6.40470770838233e-05,0.00626599743058126,TRUE
"H1|3: assigned least favorite vs Control",0.0065072173936989,0.0161719195937038,0.68751874106517,-0.0252394557586842,0.038253890546082,0.0453649166035076,0.02,0.050598923564188,0.202047391048582,0.202047391048582,FALSE
"H1|3: assigned least favorite vs Control",0.0065072173936989,0.0161719195937038,0.68751874106517,-0.0252394557586842,0.038253890546082,0.0453649166035076,0.03,0.0119912182337999,0.0731565192692973,0.0731565192692973,FALSE
"H1|3: assigned least favorite vs Control",0.0065072173936989,0.0161719195937038,0.68751874106517,-0.0252394557586842,0.038253890546082,0.0453649166035076,0.05,0.000237883897286304,0.00357960844831496,0.00357960844831496,TRUE
"H2|1: Revelation vs Policy",-0.0121424898200112,0.00969162184769231,0.210440440157389,-0.0311528771601927,0.00686789752017027,0.0271693575349289,0.02,0.208754768583934,0.000455887189362112,0.208754768583934,FALSE
"H2|1: Revelation vs Policy",-0.0121424898200112,0.00969162184769231,0.210440440157389,-0.0311528771601927,0.00686789752017027,0.0271693575349289,0.03,0.0326972483045995,6.8652870345223e-06,0.0326972483045995,TRUE
